,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1255,2020-05-11,43.78,45.32,43.12,45.08,39.43,3816242,3816242,1.3,2.97,44.325,"May 11, 20",0.0297
1254,2020-05-12,45.33,45.56,44.15,44.16,38.62,3232696,3232696,-1.17,-2.58,44.8,"May 12, 20",-0.0258
1253,2020-05-13,43.63,43.89,40.51,41.66,36.44,2985200,2985200,-1.97,-4.52,42.4225,"May 13, 20",-0.0452
1252,2020-05-14,40.0,41.77,39.56,41.77,36.53,2118000,2118000,1.77,4.43,40.775,"May 14, 20",0.0443
1251,2020-05-15,40.2,40.93,39.81,40.69,35.95,1274951,1274951,0.49,1.22,40.4075,"May 15, 20",0.0122
1250,2020-05-18,42.31,44.2,42.31,43.51,38.44,1491702,1491702,1.2,2.84,43.0825,"May 18, 20",0.0284
1249,2020-05-19,43.53,44.34,43.21,43.25,38.21,1415500,1415500,-0.28,-0.64323,43.5825,"May 19, 20",-0.0064323
1248,2020-05-20,44.5,45.53,44.02,44.99,39.75,1075153,1075153,0.49,1.1,44.76,"May 20, 20",0.011
1247,2020-05-21,45.19,45.64,43.84,44.96,39.72,1117337,1117337,-0.23,-0.50896,44.9075,"May 21, 20",-0.0050896
1246,2020-05-22,44.86,45.57,44.71,45.21,39.94,1493416,1493416,0.35,0.78021,45.0875,"May 22, 20",0.0078021
1245,2020-05-26,46.56,47.96,46.15,47.61,42.07,1888067,1888067,1.05,2.26,47.07,"May 26, 20",0.0226
1244,2020-05-27,48.79,49.07,47.11,47.68,42.13,1678734,1678734,-1.11,-2.28,48.1625,"May 27, 20",-0.0228
1243,2020-05-28,48.19,48.94,47.02,47.2,41.7,2103700,2103700,-0.99,-2.05,47.8375,"May 28, 20",-0.0205
1242,2020-05-29,47.22,48.43,46.86,47.6,42.06,9713226,9713226,0.38,0.80474,47.5275,"May 29, 20",0.0080474
1241,2020-06-01,47.39,48.89,47.28,48.25,42.63,1793000,1793000,0.86,1.81,47.9525,"June 01, 20",0.0181
1240,2020-06-02,48.74,49.83,47.88,49.83,44.03,2125141,2125141,1.09,2.24,49.07,"June 02, 20",0.0224
1239,2020-06-03,50.0,51.68,49.84,51.6,45.59,1868300,1868300,1.6,3.2,50.78,"June 03, 20",0.032
1238,2020-06-04,51.17,51.35,49.77,51.32,45.34,1393938,1393938,0.15,0.29314,50.9025,"June 04, 20",0.0029314
1237,2020-06-05,52.28,54.85,52.17,53.15,46.96,2895848,2895848,0.87,1.66,53.1125,"June 05, 20",0.0166
1236,2020-06-08,53.94,53.94,51.94,52.82,46.67,2027040,2027040,-1.12,-2.08,53.16,"June 08, 20",-0.0208
1235,2020-06-09,51.63,52.66,50.73,52.07,46.01,1184500,1184500,0.44,0.85222,51.7725,"June 09, 20",0.0085222
1234,2020-06-10,52.03,52.08,50.55,50.82,44.9,1341000,1341000,-1.21,-2.33,51.37,"June 10, 20",-0.0233
1233,2020-06-11,48.06,48.88,47.03,47.07,41.59,1980118,1980118,-0.99,-2.06,47.76,"June 11, 20",-0.0206
1232,2020-06-12,48.99,49.55,47.08,49.22,43.49,2120107,2120107,0.23,0.46948,48.71,"June 12, 20",0.0046948
1231,2020-06-15,47.89,51.84,47.6,51.29,45.32,1861756,1861756,3.4,7.1,49.655,"June 15, 20",0.071
1230,2020-06-16,53.34,53.61,51.93,52.97,46.8,2017200,2017200,-0.37,-0.69366,52.9625,"June 16, 20",-0.0069366
1229,2020-06-17,52.95,53.34,52.46,53.02,46.85,1454700,1454700,0.07,0.1322,52.9425,"June 17, 20",0.001322
1228,2020-06-18,52.61,54.95,52.15,54.33,48.0,1680437,1680437,1.72,3.27,53.51,"June 18, 20",0.0327
1227,2020-06-19,55.37,55.39,52.8,53.08,46.9,1798200,1798200,-2.29,-4.14,54.16,"June 19, 20",-0.0414
1226,2020-06-22,52.5,52.87,51.05,51.67,45.65,1698546,1698546,-0.83,-1.58,52.0225,"June 22, 20",-0.0158
1225,2020-06-23,52.29,52.81,50.93,51.31,45.33,1603100,1603100,-0.98,-1.87,51.835,"June 23, 20",-0.0187
1224,2020-06-24,50.93,51.47,48.89,49.51,43.74,1426405,1426405,-1.42,-2.79,50.2,"June 24, 20",-0.0279
1223,2020-06-25,48.81,50.95,48.49,49.54,43.77,2311205,2311205,0.73,1.5,49.4475,"June 25, 20",0.015
1222,2020-06-26,49.05,49.75,45.5,46.24,40.85,12956908,12956908,-2.81,-5.73,47.635,"June 26, 20",-0.0573
1221,2020-06-29,46.41,48.07,45.11,47.88,42.3,1708821,1708821,1.47,3.17,46.8675,"June 29, 20",0.0317
1220,2020-06-30,47.71,50.25,47.71,49.92,44.11,2218500,2218500,2.21,4.63,48.8975,"June 30, 20",0.0463
1219,2020-07-01,50.24,51.22,48.92,50.16,44.32,1367500,1367500,-0.08,-0.15924,50.135,"July 01, 20",-0.0015924
1218,2020-07-02,51.12,51.3,49.27,49.91,44.1,2182000,2182000,-1.21,-2.37,50.4,"July 02, 20",-0.0237
1217,2020-07-06,51.2,51.6,50.04,50.14,44.3,945300,945300,-1.06,-2.07,50.745,"July 06, 20",-0.0207
1216,2020-07-07,49.64,50.09,48.93,49.02,43.31,1164511,1164511,-0.62,-1.25,49.42,"July 07, 20",-0.0125
1215,2020-07-08,49.06,50.42,49.06,50.35,44.49,1372626,1372626,1.29,2.63,49.7225,"July 08, 20",0.0263
1214,2020-07-09,50.21,50.21,47.3,49.9,44.09,2462030,2462030,-0.31,-0.61741,49.405,"July 09, 20",-0.0061741
1213,2020-07-10,50.05,50.14,48.8,50.09,44.26,871300,871300,0.04,0.07992008,49.77,"July 10, 20",0.0007992008
1212,2020-07-13,50.52,51.12,49.13,49.2,43.47,1075132,1075132,-1.32,-2.61,49.9925,"July 13, 20",-0.0261
