,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1255,2020-05-11,130.92,131.0,127.95,128.91,128.91,20312258,20055400,-2.01,-1.54,129.51,"May 11, 20",-0.0154
1254,2020-05-12,129.72,133.12,125.1989,125.22,125.22,22698432,22579000,-4.5,-3.47,128.36,"May 12, 20",-0.0347
1253,2020-05-13,125.0,125.07,119.33,121.5,121.5,26134719,26002000,-3.5,-2.8,121.78,"May 13, 20",-0.028
1252,2020-05-14,118.98,122.61,113.89,122.52,122.519997,37698356,37499200,3.54,2.98,118.84,"May 14, 20",0.0298
1251,2020-05-15,118.33,121.8899,117.78,120.0,120.0,26952921,26756800,1.67,1.41,119.95,"May 15, 20",0.0141
1250,2020-05-18,126.18,136.2,125.7998,135.44,135.44,44114982,43781800,9.26,7.34,132.0,"May 18, 20",0.0734
1249,2020-05-19,137.0,137.04,130.28,130.44,130.44,32612209,32373000,-6.56,-4.79,133.75,"May 19, 20",-0.0479
1248,2020-05-20,133.27,135.45,131.3101,133.32,133.32,21968719,21835500,0.05,0.03751782,133.23,"May 20, 20",0.0003751782
1247,2020-05-21,137.0,144.239,136.1508,139.0,139.0,48508340,48263900,2.0,1.46,140.54,"May 21, 20",0.0146
1246,2020-05-22,141.01,141.08,135.7766,137.53,137.529999,21262717,21098800,-3.48,-2.47,137.43,"May 22, 20",-0.0247
1245,2020-05-26,145.21,145.91,142.61,144.73,144.729996,30724391,30338300,-0.48,-0.33056,144.53,"May 26, 20",-0.0033056
1244,2020-05-27,149.14,149.65,141.24,149.52,149.52,33125443,32799900,0.38,0.25479,147.29,"May 27, 20",0.0025479
1243,2020-05-28,156.1,156.7,149.05,149.82,149.82,35279427,34734300,-6.28,-4.02,153.66,"May 28, 20",-0.0402
1242,2020-05-29,145.3,152.0,142.94,145.85,145.85,34206293,33853900,0.55,0.37853,145.5,"May 29, 20",0.0037853
1241,2020-06-01,145.45,153.55,144.55,151.39,151.389999,27382627,27127300,5.94,4.08,150.78,"June 01, 20",0.0408
1240,2020-06-02,154.0,155.85,151.8101,153.31,153.309998,24945627,24780500,-0.69,-0.44805,153.9,"June 02, 20",-0.0044805
1239,2020-06-03,157.1,173.78,155.49,173.16,173.16,66710179,66486400,16.06,10.22,167.16,"June 03, 20",0.1022
1238,2020-06-04,181.28,188.6,177.4,184.3,184.3,67612429,67155600,3.02,1.67,183.69,"June 04, 20",0.0167
1237,2020-06-05,205.0,218.79,197.36,205.43,205.429993,100587969,99846000,0.43,0.20976,208.14,"June 05, 20",0.0020976
1236,2020-06-08,222.94,234.2,218.93,230.5,230.5,81605356,80902800,7.56,3.39,228.96,"June 08, 20",0.0339
1235,2020-06-09,222.14,227.0,213.08,216.74,216.74,67362337,66688700,-5.4,-2.43,220.42,"June 09, 20",-0.0243
1234,2020-06-10,211.17,213.03,197.4,203.41,203.41,90682331,90384900,-7.76,-3.67,205.03,"June 10, 20",-0.0367
1233,2020-06-11,179.35,192.18,166.01,170.0,170.0,104065802,103212800,-9.35,-5.21,179.54,"June 11, 20",-0.0521
1232,2020-06-12,187.15,191.3,176.26,189.51,189.509995,90237390,89550100,2.36,1.26,184.41,"June 12, 20",0.0126
1231,2020-06-15,177.18,193.23,175.89,190.94,190.94,78933635,78612900,13.76,7.77,186.61,"June 15, 20",0.0777
1230,2020-06-16,207.15,208.3,192.6,197.77,197.77,76811195,76496900,-9.38,-4.53,199.6,"June 16, 20",-0.0453
