,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1255,2020-05-11,5.18,5.19,5.05,5.12,4.04,75734000,75734000,-0.06,-1.16,5.135,"May 11, 20",-0.0116
1254,2020-05-12,5.15,5.22,4.97,4.98,3.93,70965200,70965200,-0.17,-3.3,5.08,"May 12, 20",-0.033
1253,2020-05-13,5.0,5.01,4.66,4.72,3.72,100192300,100192300,-0.28,-5.6,4.8475,"May 13, 20",-0.056
1252,2020-05-14,4.64,4.92,4.52,4.89,3.86,108061111,108061111,0.245,5.39,4.7425,"May 14, 20",0.0539
1251,2020-05-15,4.8,4.94,4.75,4.9,3.87,80544700,80544700,0.1,2.08,4.8475,"May 15, 20",0.0208
1250,2020-05-18,5.12,5.33,5.12,5.31,4.19,136241424,136241424,0.19,3.71,5.22,"May 18, 20",0.0371
1249,2020-05-19,5.27,5.45,5.15,5.3,4.18,94836300,94836300,0.03,0.56926,5.2925,"May 19, 20",0.0056926
1248,2020-05-20,5.38,5.54,5.37,5.49,4.33,87685400,87685400,0.11,2.04,5.445,"May 20, 20",0.0204
1247,2020-05-21,5.45,5.69,5.44,5.63,4.44,87098219,87098219,0.18,3.3,5.5525,"May 21, 20",0.033
1246,2020-05-22,5.68,5.73,5.5,5.65,4.46,76656500,76656500,-0.03,-0.52817,5.64,"May 22, 20",-0.0052817
1245,2020-05-26,5.92,5.99,5.82,5.84,4.61,86046301,86046301,-0.08,-1.35,5.8925,"May 26, 20",-0.0135
1244,2020-05-27,6.01,6.09,5.84,6.03,4.76,110413900,110413900,0.02,0.33278,5.9925,"May 27, 20",0.0033278
1243,2020-05-28,6.05,6.07,5.81,5.85,4.62,77126187,77126187,-0.2,-3.31,5.945,"May 28, 20",-0.0331
1242,2020-05-29,5.75,5.8,5.57,5.71,4.51,93039226,93039226,-0.04,-0.69565,5.7075,"May 29, 20",-0.0069565
1241,2020-06-01,5.73,5.88,5.67,5.87,4.63,61938822,61938822,0.14,2.44,5.7875,"June 01, 20",0.0244
1240,2020-06-02,5.96,6.0,5.83,5.9,4.66,80046000,80046000,-0.06,-1.01,5.9225,"June 02, 20",-0.0101
1239,2020-06-03,5.99,6.27,5.92,6.19,4.89,98876600,98876600,0.2,3.34,6.0925,"June 03, 20",0.0334
1238,2020-06-04,6.2,6.58,6.12,6.57,5.18,115798600,115798600,0.37,5.97,6.3675,"June 04, 20",0.0597
1237,2020-06-05,7.24,7.5,7.02,7.34,5.79,208648200,208648200,0.1,1.38,7.275,"June 05, 20",0.0138
1236,2020-06-08,7.53,7.74,7.37,7.53,5.94,113169300,113169300,0.0,0.0,7.5425,"June 08, 20",0.0
1235,2020-06-09,7.22,7.44,7.05,7.24,5.71,115749606,115749606,0.02,0.27701,7.2375,"June 09, 20",0.0027701
1234,2020-06-10,7.33,7.34,6.77,6.81,5.37,147327100,147327100,-0.52,-7.09,7.0625,"June 10, 20",-0.0709
1233,2020-06-11,6.07,6.46,6.04,6.13,4.84,116184727,116184727,0.06,0.98847,6.175,"June 11, 20",0.0098847
1232,2020-06-12,6.56,6.63,6.3,6.46,5.1,88778026,88778026,-0.1,-1.52,6.4875,"June 12, 20",-0.0152
1231,2020-06-15,6.18,6.58,6.11,6.5,5.13,104742600,104742600,0.32,5.18,6.3425,"June 15, 20",0.0518
1230,2020-06-16,6.87,6.87,6.44,6.55,5.17,109535200,109535200,-0.32,-4.66,6.6825,"June 16, 20",-0.0466
1229,2020-06-17,6.56,6.56,6.31,6.33,5.0,67831400,67831400,-0.23,-3.51,6.44,"June 17, 20",-0.0351
1228,2020-06-18,6.26,6.45,6.19,6.33,5.0,61301800,61301800,0.07,1.12,6.3075,"June 18, 20",0.0112
1227,2020-06-19,6.64,6.69,6.23,6.23,4.92,126127803,126127803,-0.41,-6.17,6.4475,"June 19, 20",-0.0617
1226,2020-06-22,6.27,6.28,6.13,6.28,4.96,71724300,71724300,0.01,0.15949,6.24,"June 22, 20",0.0015949
1225,2020-06-23,6.33,6.38,6.14,6.15,4.85,86672823,86672823,-0.18,-2.84,6.25,"June 23, 20",-0.0284
1224,2020-06-24,6.06,6.12,5.86,5.95,4.7,75536300,75536300,-0.11,-1.82,5.9975,"June 24, 20",-0.0182
1223,2020-06-25,5.86,6.05,5.8,6.03,4.76,73612736,73612736,0.17,2.9,5.935,"June 25, 20",0.029
1222,2020-06-26,6.04,6.07,5.81,5.91,4.66,118435400,118435400,-0.13,-2.15,5.9575,"June 26, 20",-0.0215
1221,2020-06-29,5.91,6.07,5.81,6.01,4.74,58208433,58208433,0.1,1.69,5.95,"June 29, 20",0.0169
1220,2020-06-30,5.98,6.1,5.9,6.08,4.8,61909300,61909300,0.1,1.67,6.015,"June 30, 20",0.0167
1219,2020-07-01,6.1,6.18,5.95,5.98,4.72,62454700,62454700,-0.12,-1.97,6.0525,"July 01, 20",-0.0197
1218,2020-07-02,6.1,6.17,6.0,6.05,4.77,67270506,67270506,-0.05,-0.81967,6.08,"July 02, 20",-0.0081967
1217,2020-07-06,6.14,6.2,6.11,6.19,4.89,63921800,63921800,0.05,0.81433,6.16,"July 06, 20",0.0081433
1216,2020-07-07,6.14,6.2,6.09,6.12,4.83,56652000,56652000,-0.02,-0.32573,6.1375,"July 07, 20",-0.0032573
1215,2020-07-08,6.13,6.18,6.05,6.09,4.81,60928647,60928647,-0.04,-0.65253,6.1125,"July 08, 20",-0.0065253
1214,2020-07-09,6.09,6.1,5.82,5.84,4.61,82693009,82693009,-0.25,-4.11,5.9625,"July 09, 20",-0.0411
