,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1255,2020-05-11,231.77,238.77,231.25,236.56,209.78,4378313,4378313,4.79,2.07,234.5875,"May 11, 20",0.0207
1254,2020-05-12,238.57,239.25,232.9,232.9,206.53,4399618,4399618,-5.67,-2.38,235.905,"May 12, 20",-0.0238
1253,2020-05-13,233.04,236.3,228.54,230.1,204.05,6237200,6237200,-2.94,-1.26,231.995,"May 13, 20",-0.0126
1252,2020-05-14,226.37,234.66,226.2,234.48,207.93,6434500,6434500,8.11,3.58,230.4275,"May 14, 20",0.0358
1251,2020-05-15,232.79,243.23,232.7,239.33,212.24,16176300,16176300,6.54,2.81,237.0125,"May 15, 20",0.0281
1250,2020-05-18,245.84,248.32,244.04,245.35,217.57,8341251,8341251,-0.49,-0.19932,245.8875,"May 18, 20",-0.0019932
1249,2020-05-19,240.45,242.46,237.8,238.1,211.15,9387000,9387000,-2.35,-0.97733,239.7025,"May 19, 20",-0.0097733
1248,2020-05-20,242.0,242.27,234.95,238.19,211.22,7534200,7534200,-3.81,-1.57,239.3525,"May 20, 20",-0.0157
1247,2020-05-21,237.62,241.18,235.79,240.88,213.61,4772700,4772700,3.26,1.37,238.8675,"May 21, 20",0.0137
1246,2020-05-22,240.7,242.34,238.66,241.88,214.5,3041800,3041800,1.18,0.49024,240.895,"May 22, 20",0.0049024
1245,2020-05-26,248.15,248.22,242.07,242.48,215.03,4535235,4535235,-5.67,-2.28,245.23,"May 26, 20",-0.0228
1244,2020-05-27,242.69,247.39,240.78,247.36,219.36,4664800,4664800,4.67,1.92,244.555,"May 27, 20",0.0192
1243,2020-05-28,249.52,252.23,244.43,245.14,217.39,5261750,5261750,-4.38,-1.76,247.83,"May 28, 20",-0.0176
1242,2020-05-29,245.06,249.71,244.73,248.48,220.35,5342824,5342824,3.42,1.4,246.995,"May 29, 20",0.014
1241,2020-06-01,249.41,249.78,245.87,247.29,219.29,3409936,3409936,-2.12,-0.85001,248.0875,"June 01, 20",-0.0085001
