,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1255,2020-05-11,148.45,150.1,148.12,149.11,129.59,5887489,5887489,0.66,0.44459,148.945,"May 11, 20",0.0044459
1254,2020-05-12,150.1,150.34,147.03,147.14,127.88,7039227,7039227,-2.96,-1.97,148.6525,"May 12, 20",-0.0197
1253,2020-05-13,146.08,148.95,146.01,147.13,127.87,6970457,6970457,1.05,0.71878,147.0425,"May 13, 20",0.0071878
1252,2020-05-14,145.39,147.76,144.26,147.64,128.31,6871412,6871412,2.25,1.55,146.2625,"May 14, 20",0.0155
1251,2020-05-15,147.87,150.48,145.66,150.44,130.74,10340403,10340403,2.57,1.74,148.6125,"May 15, 20",0.0174
1250,2020-05-18,152.49,153.62,150.46,150.52,130.81,7389995,7389995,-1.97,-1.29,151.7725,"May 18, 20",-0.0129
1249,2020-05-19,150.1,151.1,148.4,149.02,129.51,6107256,6107256,-1.08,-0.71952,149.655,"May 19, 20",-0.0071952
1248,2020-05-20,149.75,150.39,147.27,147.68,128.35,5713440,5713440,-2.07,-1.38,148.7725,"May 20, 20",-0.0138
1247,2020-05-21,148.5,148.5,145.82,146.71,127.5,6487343,6487343,-1.79,-1.21,147.3825,"May 21, 20",-0.0121
1246,2020-05-22,144.57,146.29,144.06,144.37,126.34,6140899,6140899,-0.2,-0.13834,144.8225,"May 22, 20",-0.0013834
1245,2020-05-26,146.19,146.44,144.3,144.56,126.5,7072258,7072258,-1.63,-1.11,145.3725,"May 26, 20",-0.0111
1244,2020-05-27,144.32,145.25,143.01,144.89,126.79,7950008,7950008,0.57,0.39496,144.3675,"May 27, 20",0.0039496
1243,2020-05-28,146.02,148.11,145.81,146.97,128.61,6190582,6190582,0.95,0.6506,146.7275,"May 28, 20",0.006506
1242,2020-05-29,147.96,149.35,145.33,148.75,130.17,8505215,8505215,0.79,0.53393,147.8475,"May 29, 20",0.0053393
1241,2020-06-01,147.29,148.34,146.01,147.19,128.81,6142580,6142580,-0.1,-0.06789327,147.2075,"June 01, 20",-0.0006789327
1240,2020-06-02,147.06,148.35,146.12,148.25,129.73,6078311,6078311,1.19,0.80919,147.445,"June 02, 20",0.0080919
1239,2020-06-03,148.52,149.14,146.45,148.65,130.08,6339468,6339468,0.13,0.0875303,148.19,"June 03, 20",0.000875303
1238,2020-06-04,146.8,148.37,145.58,146.73,128.4,8170480,8170480,-0.07,-0.04768392,146.87,"June 04, 20",-0.0004768392
1237,2020-06-05,147.69,149.64,146.6,147.3,128.9,9725441,9725441,-0.39,-0.26407,147.8075,"June 05, 20",-0.0026407
1236,2020-06-08,145.88,147.61,145.74,146.77,128.44,7555622,7555622,0.89,0.61009,146.5,"June 08, 20",0.0061009
1235,2020-06-09,148.25,149.33,145.65,145.96,127.73,8247233,8247233,-2.29,-1.54,147.2975,"June 09, 20",-0.0154
1234,2020-06-10,146.6,150.03,146.6,147.8,129.34,10137069,10137069,1.2,0.81855,147.7575,"June 10, 20",0.0081855
1233,2020-06-11,148.58,149.17,140.75,140.87,123.28,11913265,11913265,-7.71,-5.19,144.8425,"June 11, 20",-0.0519
1232,2020-06-12,142.84,143.71,140.28,142.15,124.4,8687356,8687356,-0.69,-0.48306,142.245,"June 12, 20",-0.0048306
1231,2020-06-15,141.0,142.4,139.39,141.25,123.61,8655014,8655014,0.25,0.1773,141.01,"June 15, 20",0.001773
1230,2020-06-16,144.09,145.42,142.77,144.46,126.42,7582631,7582631,0.37,0.25678,144.185,"June 16, 20",0.0025678
1229,2020-06-17,144.9,145.42,143.47,144.02,126.03,5100095,5100095,-0.88,-0.60732,144.4525,"June 17, 20",-0.0060732
1228,2020-06-18,142.52,144.12,141.87,143.41,125.5,4797449,4797449,0.89,0.62447,142.98,"June 18, 20",0.0062447
1227,2020-06-19,145.79,145.88,143.25,143.83,125.87,12194086,12194086,-1.96,-1.34,144.6875,"June 19, 20",-0.0134
1226,2020-06-22,143.47,143.66,142.03,143.39,125.48,5285631,5285631,-0.08,-0.05576079,143.1375,"June 22, 20",-0.0005576079
1225,2020-06-23,143.74,144.08,142.68,142.86,125.02,5921594,5921594,-0.88,-0.61222,143.34,"June 23, 20",-0.0061222
1224,2020-06-24,141.49,142.19,138.72,139.82,122.36,8211239,8211239,-1.67,-1.18,140.555,"June 24, 20",-0.0118
1223,2020-06-25,140.57,140.57,137.54,139.67,122.23,7421160,7421160,-0.9,-0.64025,139.5875,"June 25, 20",-0.0064025
1222,2020-06-26,139.53,139.6,137.02,137.81,120.6,12849738,12849738,-1.72,-1.23,138.49,"June 26, 20",-0.0123
1221,2020-06-29,138.74,139.7,137.98,139.04,121.67,5309797,5309797,0.3,0.21623,138.865,"June 29, 20",0.0021623
1220,2020-06-30,139.4,141.02,137.84,140.63,123.07,7738296,7738296,1.23,0.88235,139.7225,"June 30, 20",0.0088235
1219,2020-07-01,140.69,141.39,140.06,140.38,122.85,6175020,6175020,-0.31,-0.22034,140.63,"July 01, 20",-0.0022034
1218,2020-07-02,141.25,141.84,140.33,140.97,123.36,5152238,5152238,-0.28,-0.19823,141.0975,"July 02, 20",-0.0019823
1217,2020-07-06,142.17,143.77,141.88,142.98,125.12,6156354,6156354,0.81,0.56974,142.7,"July 06, 20",0.0056974
1216,2020-07-07,141.39,143.97,141.23,142.85,125.01,5622609,5622609,1.46,1.03,142.36,"July 07, 20",0.0103
1215,2020-07-08,142.87,143.39,141.7,143.27,125.38,6257537,6257537,0.4,0.27997,142.8075,"July 08, 20",0.0027997
1214,2020-07-09,142.76,144.43,140.58,142.49,124.69,5738564,5738564,-0.27,-0.18913,142.565,"July 09, 20",-0.0018913
1213,2020-07-10,142.75,142.87,141.43,142.37,124.59,4282406,4282406,-0.38,-0.2662,142.355,"July 10, 20",-0.002662
1212,2020-07-13,143.61,146.64,143.28,145.21,127.07,6951941,6951941,1.6,1.11,144.685,"July 13, 20",0.0111
1211,2020-07-14,145.32,148.39,145.26,147.92,129.44,7447125,7447125,2.6,1.79,146.7225,"July 14, 20",0.0179
1210,2020-07-15,149.73,150.21,148.23,148.26,129.74,8512838,8512838,-1.47,-0.98177,149.1075,"July 15, 20",-0.0098177
1209,2020-07-16,148.68,149.34,146.68,149.25,130.61,9304669,9304669,0.57,0.38337,148.4875,"July 16, 20",0.0038337
1208,2020-07-17,150.0,150.58,148.69,149.35,130.7,7444124,7444124,-0.65,-0.43333,149.655,"July 17, 20",-0.0043333
1207,2020-07-20,150.23,150.32,148.43,149.6,130.91,6191457,6191457,-0.63,-0.41936,149.645,"July 20, 20",-0.0041936
1206,2020-07-21,149.6,151.67,149.5,149.74,131.04,5579687,5579687,0.14,0.09358289,150.1275,"July 21, 20",0.0009358289
1205,2020-07-22,149.93,150.41,147.85,150.01,131.27,5910193,5910193,0.08,0.05335823,149.55,"July 22, 20",0.0005335823
1204,2020-07-23,150.21,150.85,149.28,149.61,130.92,6566269,6566269,-0.6,-0.39944,149.9875,"July 23, 20",-0.0039944
1203,2020-07-24,150.5,150.6,147.03,148.12,129.62,5405867,5405867,-2.38,-1.58,149.0625,"July 24, 20",-0.0158
1202,2020-07-27,147.37,148.92,146.86,147.18,128.8,5675155,5675155,-0.19,-0.12893,147.5825,"July 27, 20",-0.0012893
1201,2020-07-28,147.4,147.99,146.75,146.83,128.49,4842184,4842184,-0.57,-0.3867,147.2425,"July 28, 20",-0.003867
1200,2020-07-29,146.39,147.47,146.07,146.54,128.24,4489147,4489147,0.15,0.10247,146.6175,"July 29, 20",0.0010247
1199,2020-07-30,147.44,147.5,146.14,146.84,128.5,5922481,5922481,-0.6,-0.40695,146.98,"July 30, 20",-0.0040695
1198,2020-07-31,146.66,147.45,143.96,145.76,127.55,8257997,8257997,-0.9,-0.61366,145.9575,"July 31, 20",-0.0061366
1197,2020-08-03,146.39,147.79,146.15,147.35,128.95,4079755,4079755,0.96,0.65578,146.92,"August 03, 20",0.0065578
1196,2020-08-04,146.99,147.22,145.82,147.22,128.83,4162154,4162154,0.23,0.15647,146.8125,"August 04, 20",0.0015647
1195,2020-08-05,149.1,149.31,147.8,148.4,129.86,5493196,5493196,-0.7,-0.46948,148.6525,"August 05, 20",-0.0046948
1194,2020-08-06,148.4,149.25,146.5,147.55,129.12,4837865,4837865,-0.85,-0.57278,147.925,"August 06, 20",-0.0057278
1193,2020-08-07,147.51,148.65,147.15,148.6,130.04,3635071,3635071,1.09,0.73893,147.9775,"August 07, 20",0.0073893
1192,2020-08-10,148.86,149.01,147.72,148.03,129.54,4096620,4096620,-0.83,-0.55757,148.405,"August 10, 20",-0.0055757
1191,2020-08-11,149.14,149.23,146.37,146.97,128.61,6388389,6388389,-2.17,-1.46,147.9275,"August 11, 20",-0.0146
1190,2020-08-12,147.54,150.24,147.49,149.66,130.97,5258127,5258127,2.12,1.44,148.7325,"August 12, 20",0.0144
1189,2020-08-13,148.54,149.19,147.53,148.0,129.51,5155457,5155457,-0.54,-0.36354,148.315,"August 13, 20",-0.0036354
1188,2020-08-14,147.61,149.34,147.58,148.24,129.72,4240189,4240189,0.63,0.4268,148.1925,"August 14, 20",0.004268
1187,2020-08-17,148.32,150.23,148.23,148.99,130.38,4306909,4306909,0.67,0.45173,148.9425,"August 17, 20",0.0045173
1186,2020-08-18,149.26,150.1,148.57,150.09,131.34,4322567,4322567,0.83,0.55608,149.505,"August 18, 20",0.0055608
1185,2020-08-19,149.58,151.58,149.32,150.39,131.61,7816251,7816251,0.81,0.54152,150.2175,"August 19, 20",0.0054152
1184,2020-08-20,149.75,151.58,149.55,151.42,132.51,4874739,4874739,1.67,1.12,150.575,"August 20, 20",0.0112
1183,2020-08-21,151.78,153.65,150.59,152.76,133.68,6722759,6722759,0.98,0.64567,152.195,"August 21, 20",0.0064567
1182,2020-08-24,152.74,152.9,150.35,152.15,134.03,5387937,5387937,-0.59,-0.38628,152.035,"August 24, 20",-0.0038628
1181,2020-08-25,152.78,153.07,151.54,152.06,133.95,3863477,3863477,-0.72,-0.47127,152.3625,"August 25, 20",-0.0047127
1180,2020-08-26,151.86,152.65,150.64,152.3,134.16,8008292,8008292,0.44,0.28974,151.8625,"August 26, 20",0.0028974
1179,2020-08-27,152.42,153.26,151.89,152.98,134.76,5575432,5575432,0.56,0.36741,152.6375,"August 27, 20",0.0036741
1178,2020-08-28,152.74,153.7,151.9,153.64,135.35,5395684,5395684,0.9,0.58924,152.995,"August 28, 20",0.0058924
1177,2020-08-31,153.0,154.4,152.26,153.41,135.14,6362683,6362683,0.41,0.26797,153.2675,"August 31, 20",0.0026797
1176,2020-09-01,153.87,154.08,150.07,151.52,133.48,6309237,6309237,-2.35,-1.53,152.385,"September 01, 20",-0.0153
1175,2020-09-02,150.79,154.33,149.25,153.83,135.51,6881856,6881856,3.04,2.02,152.05,"September 02, 20",0.0202
1174,2020-09-03,154.83,155.47,148.3,149.55,131.74,8672808,8672808,-5.28,-3.41,152.0375,"September 03, 20",-0.0341
1173,2020-09-04,150.17,150.95,147.13,148.59,130.9,7200065,7200065,-1.58,-1.05,149.21,"September 04, 20",-0.0105
1172,2020-09-08,150.25,150.89,146.9,147.26,129.72,8756742,8756742,-2.99,-1.99,148.825,"September 08, 20",-0.0199
1171,2020-09-09,148.15,151.1,148.12,149.7,131.87,6960668,6960668,1.55,1.05,149.2675,"September 09, 20",0.0105
1170,2020-09-10,149.25,149.78,146.52,146.91,129.42,6191800,6191800,-2.34,-1.57,148.115,"September 10, 20",-0.0157
1169,2020-09-11,147.05,148.53,146.63,147.78,130.18,3934691,3934691,0.73,0.49643,147.4975,"September 11, 20",0.0049643
1168,2020-09-14,148.12,149.47,148.01,148.35,130.69,4375798,4375798,0.23,0.15528,148.4875,"September 14, 20",0.0015528
1167,2020-09-15,149.45,150.59,148.52,148.89,131.16,3659221,3659221,-0.56,-0.37471,149.3625,"September 15, 20",-0.0037471
