,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1255,2020-05-11,91.11,91.11,89.33,89.97,78.29,31907600,31907600,-1.14,-1.25,90.38,"May 11, 20",-0.0125
1254,2020-05-12,90.15,90.79,86.9,87.03,75.73,27962923,27962923,-3.12,-3.46,88.7175,"May 12, 20",-0.0346
1253,2020-05-13,86.38,86.86,83.4,84.03,73.12,35451600,35451600,-2.35,-2.72,85.1675,"May 13, 20",-0.0272
1252,2020-05-14,82.72,88.11,82.4,87.52,76.16,35152500,35152500,4.8,5.8,85.1875,"May 14, 20",0.058
1251,2020-05-15,86.85,87.28,85.3,85.9,74.75,26099044,26099044,-0.95,-1.09,86.3325,"May 15, 20",-0.0109
1250,2020-05-18,88.69,91.15,87.88,90.45,78.71,30528734,30528734,1.76,1.98,89.5425,"May 18, 20",0.0198
1249,2020-05-19,90.05,91.2,88.59,88.67,77.16,19597300,19597300,-1.38,-1.53,89.6275,"May 19, 20",-0.0153
1248,2020-05-20,90.71,92.39,90.37,91.33,79.47,20552400,20552400,0.62,0.6835,91.2,"May 20, 20",0.006835
1247,2020-05-21,90.27,91.76,89.67,90.17,78.46,14621406,14621406,-0.1,-0.11078,90.4675,"May 21, 20",-0.0011078
1246,2020-05-22,90.01,90.36,88.72,89.47,77.85,13557923,13557923,-0.54,-0.59993,89.64,"May 22, 20",-0.0059993
1245,2020-05-26,92.89,97.5,92.61,95.82,83.38,41233949,41233949,2.93,3.15,94.705,"May 26, 20",0.0315
1244,2020-05-27,102.07,102.58,98.8,101.37,88.21,39402040,39402040,-0.7,-0.6858,101.205,"May 27, 20",-0.006858
1243,2020-05-28,102.94,102.95,99.4,99.86,86.89,24738542,24738542,-3.08,-2.99,101.2875,"May 28, 20",-0.0299
1242,2020-05-29,98.66,99.18,96.78,97.31,84.68,26538154,26538154,-1.35,-1.37,97.9825,"May 29, 20",-0.0137
1241,2020-06-01,97.75,99.51,97.38,98.6,85.8,15207495,15207495,0.85,0.86957,98.31,"June 01, 20",0.0086957
1240,2020-06-02,100.28,100.42,97.93,98.93,86.09,21195000,21195000,-1.35,-1.35,99.39,"June 02, 20",-0.0135
1239,2020-06-03,101.58,104.92,101.06,104.27,90.73,25941100,25941100,2.69,2.65,102.9575,"June 03, 20",0.0265
1238,2020-06-04,103.82,106.61,102.79,106.44,92.62,26784723,26784723,2.62,2.52,104.915,"June 04, 20",0.0252
1237,2020-06-05,114.93,115.77,109.53,111.23,96.79,42231000,42231000,-3.7,-3.22,112.865,"June 05, 20",-0.0322
1236,2020-06-08,113.41,114.19,111.94,113.45,98.72,24881800,24881800,0.04,0.03527026,113.2475,"June 08, 20",0.0003527026
1235,2020-06-09,110.65,111.63,109.01,110.54,96.19,17031144,17031144,-0.11,-0.09941256,110.4575,"June 09, 20",-0.0009941256
1234,2020-06-10,110.46,110.51,105.85,106.06,92.29,24913328,24913328,-4.4,-3.98,108.22,"June 10, 20",-0.0398
1233,2020-06-11,100.03,101.58,96.54,97.21,84.59,36259224,36259224,-2.82,-2.82,98.84,"June 11, 20",-0.0282
1232,2020-06-12,100.71,101.13,97.33,99.87,86.9,24856800,24856800,-0.84,-0.83408,99.76,"June 12, 20",-0.0083408
1231,2020-06-15,96.42,101.43,95.87,101.25,88.1,22153641,22153641,4.83,5.01,98.7425,"June 15, 20",0.0501
1230,2020-06-16,105.37,105.68,99.31,102.06,88.81,22193600,22193600,-3.31,-3.14,103.105,"June 16, 20",-0.0314
1229,2020-06-17,102.53,102.54,99.21,99.48,86.56,15639830,15639830,-3.05,-2.97,100.94,"June 17, 20",-0.0297
1228,2020-06-18,98.67,100.52,98.13,98.94,86.09,16591911,16591911,0.27,0.27364,99.065,"June 18, 20",0.0027364
1227,2020-06-19,100.53,100.6,96.73,97.81,85.11,40371200,40371200,-2.72,-2.71,98.9175,"June 19, 20",-0.0271
1226,2020-06-22,97.25,97.95,96.54,96.75,84.19,16216903,16216903,-0.5,-0.51414,97.1225,"June 22, 20",-0.0051414
1225,2020-06-23,98.97,99.97,97.85,97.93,85.22,15381400,15381400,-1.04,-1.05,98.68,"June 23, 20",-0.0105
1224,2020-06-24,96.75,96.84,94.31,94.66,82.37,22919800,22919800,-2.09,-2.16,95.64,"June 24, 20",-0.0216
1223,2020-06-25,94.35,98.21,94.26,97.96,85.24,25743638,25743638,3.61,3.83,96.195,"June 25, 20",0.0383
1222,2020-06-26,95.11,95.37,92.0,92.59,80.57,41896324,41896324,-2.52,-2.65,93.7675,"June 26, 20",-0.0265
