,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1255,2020-05-11,375.0,379.5,374.14,376.56,329.08,1288199,1288199,1.56,0.416,376.3,"May 11, 20",0.00416
1254,2020-05-12,378.0,382.44,371.03,371.11,324.31,1448022,1448022,-6.89,-1.82,375.645,"May 12, 20",-0.0182
1253,2020-05-13,371.28,372.46,362.01,364.18,318.26,1287444,1287444,-7.1,-1.91,367.4825,"May 13, 20",-0.0191
1252,2020-05-14,360.99,361.54,352.26,356.28,311.35,1776414,1776414,-4.71,-1.3,357.7675,"May 14, 20",-0.013
1251,2020-05-15,352.53,361.51,352.32,360.4,314.95,1854733,1854733,7.87,2.23,356.69,"May 15, 20",0.0223
1250,2020-05-18,371.21,380.49,366.02,377.54,329.93,1879761,1879761,6.33,1.71,373.815,"May 18, 20",0.0171
1249,2020-05-19,378.07,382.46,371.24,371.48,324.64,1087518,1087518,-6.59,-1.74,375.8125,"May 19, 20",-0.0174
1248,2020-05-20,372.44,374.0,362.11,362.51,316.8,1880508,1880508,-9.93,-2.67,367.765,"May 20, 20",-0.0267
1247,2020-05-21,362.69,370.03,362.6,368.82,322.31,1179171,1179171,6.13,1.69,366.035,"May 21, 20",0.0169
1246,2020-05-22,369.86,370.16,365.62,369.0,322.47,752632,752632,-0.86,-0.23252,368.66,"May 22, 20",-0.0023252
1245,2020-05-26,376.95,376.95,370.57,372.2,325.27,1596100,1596100,-4.75,-1.26,374.1675,"May 26, 20",-0.0126
1244,2020-05-27,376.78,397.12,376.58,397.12,347.04,1986900,1986900,20.34,5.4,386.9,"May 27, 20",0.054
1243,2020-05-28,401.46,404.26,398.16,398.44,348.2,1488858,1488858,-3.02,-0.75225,400.58,"May 28, 20",-0.0075225
1242,2020-05-29,396.04,396.24,384.77,388.44,341.52,1734084,1734084,-7.6,-1.92,391.3725,"May 29, 20",-0.0192
1241,2020-06-01,388.94,394.0,387.31,388.96,341.97,1090489,1090489,0.02,0.00514218,389.8025,"June 01, 20",5.14218e-05
1240,2020-06-02,388.64,393.23,386.99,389.77,342.69,1404816,1404816,1.13,0.29076,389.6575,"June 02, 20",0.0029076
1239,2020-06-03,393.65,403.6,392.59,402.63,353.99,1382257,1382257,8.98,2.28,398.1175,"June 03, 20",0.0228
1238,2020-06-04,401.78,404.87,399.0,403.67,354.91,1261970,1261970,1.89,0.47041,402.33,"June 04, 20",0.0047041
1237,2020-06-05,410.0,416.0,406.45,410.75,361.13,1702784,1702784,0.75,0.18293,410.8,"June 05, 20",0.0018293
1236,2020-06-08,415.0,417.62,411.75,414.3,364.25,1294898,1294898,-0.7,-0.16867,414.6675,"June 08, 20",-0.0016867
1235,2020-06-09,410.53,411.94,407.0,408.56,359.21,1188452,1188452,-1.97,-0.47987,409.5075,"June 09, 20",-0.0047987
1234,2020-06-10,406.5,409.1,403.45,403.77,354.99,1188244,1188244,-2.73,-0.67159,405.705,"June 10, 20",-0.0067159
1233,2020-06-11,392.69,397.31,383.57,383.88,337.51,1698839,1698839,-8.81,-2.24,389.3625,"June 11, 20",-0.0224
1232,2020-06-12,393.33,394.43,376.47,381.87,335.74,1788398,1788398,-11.46,-2.91,386.525,"June 12, 20",-0.0291
1231,2020-06-15,373.28,377.15,367.55,373.28,328.19,2273477,2273477,0.0,0.0,372.815,"June 15, 20",0.0
1230,2020-06-16,386.56,391.79,379.58,382.77,336.53,2038769,2038769,-3.79,-0.98044,385.175,"June 16, 20",-0.0098044
