,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1255,2020-05-11,326.1,329.56,324.76,327.47,301.48,922358,922358,1.37,0.42012,326.9725,"May 11, 20",0.0042012
1254,2020-05-12,328.88,332.53,325.39,325.51,299.67,1098300,1098300,-3.37,-1.02,328.0775,"May 12, 20",-0.0102
1253,2020-05-13,324.44,325.81,317.81,320.46,295.03,690600,690600,-3.98,-1.23,322.13,"May 13, 20",-0.0123
1252,2020-05-14,318.26,318.3,307.33,311.93,287.17,1122001,1122001,-6.33,-1.99,313.955,"May 14, 20",-0.0199
1251,2020-05-15,311.31,324.1,310.25,321.63,296.1,1672600,1672600,10.32,3.32,316.8225,"May 15, 20",0.0332
1250,2020-05-18,330.18,333.84,322.57,331.17,304.89,934419,934419,0.99,0.29984,329.44,"May 18, 20",0.0029984
1249,2020-05-19,330.83,335.19,326.67,327.03,301.07,564000,564000,-3.8,-1.15,329.93,"May 19, 20",-0.0115
1248,2020-05-20,331.95,331.95,319.71,320.4,294.97,899446,899446,-11.55,-3.48,326.0025,"May 20, 20",-0.0348
1247,2020-05-21,320.59,329.53,319.75,328.11,302.07,733430,733430,7.52,2.35,324.495,"May 21, 20",0.0235
1246,2020-05-22,328.95,328.95,323.44,325.91,300.04,723936,723936,-3.04,-0.92415,326.8125,"May 22, 20",-0.0092415
1245,2020-05-26,333.21,333.35,323.47,324.19,298.46,1217829,1217829,-9.02,-2.71,328.555,"May 26, 20",-0.0271
1244,2020-05-27,328.0,343.5,326.2,342.98,315.76,934645,934645,14.98,4.57,335.17,"May 27, 20",0.0457
1243,2020-05-28,346.41,348.78,342.31,342.73,315.53,728292,728292,-3.68,-1.06,345.0575,"May 28, 20",-0.0106
1242,2020-05-29,339.84,340.74,334.4,335.2,309.91,1118859,1118859,-4.64,-1.37,337.545,"May 29, 20",-0.0137
1241,2020-06-01,335.63,342.12,330.25,330.67,305.72,1233587,1233587,-4.96,-1.48,334.6675,"June 01, 20",-0.0148
1240,2020-06-02,332.37,333.82,325.05,327.06,302.38,1451744,1451744,-5.31,-1.6,329.575,"June 02, 20",-0.016
1239,2020-06-03,329.77,336.69,327.58,335.96,310.61,1628884,1628884,6.19,1.88,332.5,"June 03, 20",0.0188
1238,2020-06-04,336.55,340.94,334.15,335.74,310.41,689925,689925,-0.81,-0.24068,336.845,"June 04, 20",-0.0024068
1237,2020-06-05,343.25,346.59,339.69,342.1,316.29,1259807,1259807,-1.15,-0.33503,342.9075,"June 05, 20",-0.0033503
1236,2020-06-08,341.58,349.27,341.48,348.79,322.47,661526,661526,7.21,2.11,345.28,"June 08, 20",0.0211
1235,2020-06-09,346.88,346.88,340.99,342.53,316.68,1039315,1039315,-4.35,-1.25,344.32,"June 09, 20",-0.0125
1234,2020-06-10,341.24,344.08,338.46,341.25,315.5,606248,606248,0.01,0.00293049,341.2575,"June 10, 20",2.93049e-05
1233,2020-06-11,330.0,336.73,320.82,320.99,296.77,965901,965901,-9.01,-2.73,327.135,"June 11, 20",-0.0273
1232,2020-06-12,328.7,328.7,313.08,317.68,293.71,818126,818126,-11.02,-3.35,322.04,"June 12, 20",-0.0335
1231,2020-06-15,310.75,316.02,308.55,313.62,289.96,1194350,1194350,2.87,0.92357,312.235,"June 15, 20",0.0092357
1230,2020-06-16,324.47,329.47,317.76,324.74,300.24,1072283,1072283,0.27,0.08321262,324.11,"June 16, 20",0.0008321262
1229,2020-06-17,323.81,327.26,320.57,322.29,297.97,613204,613204,-1.52,-0.46941,323.4825,"June 17, 20",-0.0046941
1228,2020-06-18,319.65,321.49,316.1,317.83,293.85,741706,741706,-1.82,-0.56937,318.7675,"June 18, 20",-0.0056937
1227,2020-06-19,322.0,322.57,312.38,312.66,289.07,1242500,1242500,-9.34,-2.9,317.4025,"June 19, 20",-0.029
1226,2020-06-22,311.93,315.6,309.58,315.56,291.75,838130,838130,3.63,1.16,313.1675,"June 22, 20",0.0116
1225,2020-06-23,316.85,317.0,306.79,307.1,283.93,979900,979900,-9.75,-3.08,311.935,"June 23, 20",-0.0308
1224,2020-06-24,304.61,305.3,299.25,301.91,279.13,1217017,1217017,-2.7,-0.88638,302.7675,"June 24, 20",-0.0088638
1223,2020-06-25,300.37,302.54,294.0,301.75,278.98,1285600,1285600,1.38,0.45943,299.665,"June 25, 20",0.0045943
1222,2020-06-26,300.68,306.08,298.93,301.86,279.08,1286519,1286519,1.18,0.39244,301.8875,"June 26, 20",0.0039244
1221,2020-06-29,304.82,309.02,303.33,309.02,285.7,734128,734128,4.2,1.38,306.5475,"June 29, 20",0.0138
1220,2020-06-30,308.67,309.22,304.4,307.44,284.24,772900,772900,-1.23,-0.39848,307.4325,"June 30, 20",-0.0039848
1219,2020-07-01,308.87,311.14,306.5,308.14,284.89,737900,737900,-0.73,-0.23635,308.6625,"July 01, 20",-0.0023635
1218,2020-07-02,311.13,313.24,308.62,309.97,286.58,629706,629706,-1.16,-0.37283,310.74,"July 02, 20",-0.0037283
1217,2020-07-06,313.05,313.5,308.76,312.4,288.83,739245,739245,-0.65,-0.20763,311.9275,"July 06, 20",-0.0020763
1216,2020-07-07,310.13,312.5,303.65,304.47,281.5,741073,741073,-5.66,-1.83,307.6875,"July 07, 20",-0.0183
1215,2020-07-08,304.0,306.55,298.77,301.1,278.38,908382,908382,-2.9,-0.95395,302.605,"July 08, 20",-0.0095395
1214,2020-07-09,299.63,300.31,285.49,285.95,264.37,1729548,1729548,-13.68,-4.57,292.845,"July 09, 20",-0.0457
1213,2020-07-10,287.17,294.22,286.81,292.0,269.97,1504860,1504860,4.83,1.68,290.05,"July 10, 20",0.0168
1212,2020-07-13,294.42,296.57,290.29,292.35,270.29,1043623,1043623,-2.07,-0.70308,293.4075,"July 13, 20",-0.0070308
1211,2020-07-14,291.27,295.85,287.52,295.55,273.25,1180328,1180328,4.28,1.47,292.5475,"July 14, 20",0.0147
1210,2020-07-15,300.12,303.93,298.0,300.76,278.07,1196300,1196300,0.64,0.21325,300.7025,"July 15, 20",0.0021325
1209,2020-07-16,299.47,305.98,296.5,303.65,280.74,1162931,1162931,4.18,1.4,301.4,"July 16, 20",0.014
1208,2020-07-17,305.85,307.69,303.57,306.84,283.69,1544800,1544800,0.99,0.32369,305.9875,"July 17, 20",0.0032369
1207,2020-07-20,306.75,306.76,301.25,301.49,278.74,922000,922000,-5.26,-1.71,304.0625,"July 20, 20",-0.0171
1206,2020-07-21,306.33,309.13,302.39,308.19,284.94,1007670,1007670,1.86,0.60719,306.51,"July 21, 20",0.0060719
1205,2020-07-22,306.59,316.39,306.01,316.0,292.16,942147,942147,9.41,3.07,311.2475,"July 22, 20",0.0307
1204,2020-07-23,316.0,318.72,311.69,313.06,289.44,694253,694253,-2.94,-0.93038,314.8675,"July 23, 20",-0.0093038
1203,2020-07-24,314.78,318.79,310.26,312.69,289.1,686941,686941,-2.09,-0.66396,314.13,"July 24, 20",-0.0066396
1202,2020-07-27,311.01,311.72,305.88,308.02,284.78,575836,575836,-2.99,-0.96138,309.1575,"July 27, 20",-0.0096138
1201,2020-07-28,307.91,317.94,307.91,312.87,289.26,709739,709739,4.96,1.61,311.6575,"July 28, 20",0.0161
1200,2020-07-29,316.14,316.69,310.53,315.26,291.47,1299500,1299500,-0.88,-0.27836,314.655,"July 29, 20",-0.0027836
1199,2020-07-30,314.0,329.46,313.01,326.01,301.41,1493821,1493821,12.01,3.82,320.62,"July 30, 20",0.0382
1198,2020-07-31,326.01,326.58,318.2,325.01,300.49,1161532,1161532,-1.0,-0.30674,323.95,"July 31, 20",-0.0030674
1197,2020-08-03,324.58,326.19,321.83,323.59,299.17,603100,603100,-0.99,-0.30501,324.0475,"August 03, 20",-0.0030501
1196,2020-08-04,324.6,325.29,320.86,325.01,300.49,538368,538368,0.41,0.12631,323.94,"August 04, 20",0.0012631
1195,2020-08-05,325.92,330.93,325.01,329.71,304.83,566418,566418,3.79,1.16,327.8925,"August 05, 20",0.0116
1194,2020-08-06,327.99,329.65,325.45,326.34,301.72,720301,720301,-1.65,-0.50306,327.3575,"August 06, 20",-0.0050306
1193,2020-08-07,326.83,332.0,325.48,329.27,304.42,1470286,1470286,2.44,0.74657,328.395,"August 07, 20",0.0074657
1192,2020-08-10,330.36,336.27,330.36,335.73,310.4,1016000,1016000,5.37,1.63,333.18,"August 10, 20",0.0163
1191,2020-08-11,339.19,345.41,338.46,341.85,316.06,1527100,1527100,2.66,0.78422,341.2275,"August 11, 20",0.0078422
1190,2020-08-12,343.18,343.99,337.55,339.4,313.79,636809,636809,-3.78,-1.1,341.03,"August 12, 20",-0.011
1189,2020-08-13,336.79,340.82,335.46,338.62,313.07,493043,493043,1.83,0.54337,337.9225,"August 13, 20",0.0054337
1188,2020-08-14,337.28,343.84,336.86,342.06,316.25,396518,396518,4.78,1.42,340.01,"August 14, 20",0.0142
1187,2020-08-17,341.77,344.0,338.52,339.76,314.12,628227,628227,-2.01,-0.58811,341.0125,"August 17, 20",-0.0058811
