,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1156,2020-09-30,10.0,11.42,9.11,9.5,9.5,338549492,338584400,-0.5,-5.0,10.32,"September 30, 20",-0.05
1155,2020-10-01,9.69,10.1,9.23,9.46,9.46,129660350,124297600,-0.23,-2.37,9.59,"October 01, 20",-0.0237
1154,2020-10-02,9.06,9.28,8.94,9.2,9.2,56343795,55018300,0.14,1.55,9.13,"October 02, 20",0.0155
1153,2020-10-05,9.43,9.49,8.92,9.03,9.03,36951976,36316900,-0.4,-4.24,9.11,"October 05, 20",-0.0424
1152,2020-10-06,9.04,10.18,8.9,9.9,9.9,91313619,90864000,0.86,9.51,9.68,"October 06, 20",0.0951
1151,2020-10-07,10.04,10.49,9.99,10.0,10.0,55469945,54672400,-0.04,-0.39841,10.25,"October 07, 20",-0.0039841
1150,2020-10-08,10.29,10.4,9.99,10.0,10.0,35995168,34989200,-0.29,-2.82,10.2,"October 08, 20",-0.0282
1149,2020-10-09,10.13,10.19,9.89,9.95,9.95,20204367,19653500,-0.18,-1.78,10.02,"October 09, 20",-0.0178
1148,2020-10-12,10.04,10.05,9.66,9.89,9.89,20975708,20623600,-0.15,-1.49,9.94,"October 12, 20",-0.0149
1147,2020-10-13,9.88,9.88,9.41,9.47,9.47,22160337,21847200,-0.41,-4.15,9.56,"October 13, 20",-0.0415
1146,2020-10-14,9.6,9.66,9.29,9.34,9.34,14101180,13652600,-0.26,-2.71,9.44,"October 14, 20",-0.0271
1145,2020-10-15,9.27,9.91,9.18,9.91,9.91,13148853,12924100,0.64,6.9,9.53,"October 15, 20",0.069
1144,2020-10-16,9.94,9.95,9.66,9.71,9.71,11535929,11142500,-0.23,-2.31,9.77,"October 16, 20",-0.0231
1143,2020-10-19,9.79,9.82,9.53,9.57,9.57,9333008,9126400,-0.22,-2.25,9.64,"October 19, 20",-0.0225
1142,2020-10-20,9.6,9.66,9.27,9.27,9.27,11291094,11138200,-0.33,-3.44,9.42,"October 20, 20",-0.0344
1141,2020-10-21,9.3,9.48,9.2,9.2,9.2,9424019,9190000,-0.1,-1.08,9.29,"October 21, 20",-0.0108
1140,2020-10-22,9.37,9.75,9.22,9.68,9.68,18124924,17928600,0.31,3.31,9.55,"October 22, 20",0.0331
1139,2020-10-23,9.71,9.83,9.47,9.49,9.49,12980138,12618000,-0.22,-2.27,9.61,"October 23, 20",-0.0227
1138,2020-10-26,9.72,9.97,9.6,9.95,9.95,24188457,23767300,0.23,2.37,9.8,"October 26, 20",0.0237
1137,2020-10-27,10.0,11.04,9.92,10.95,10.95,54271624,53695900,0.95,9.5,10.57,"October 27, 20",0.095
1136,2020-10-28,10.66,10.985,10.1,10.85,10.85,31926944,30941700,0.19,1.78,10.6,"October 28, 20",0.0178
1135,2020-10-29,10.9,11.1,10.56,10.75,10.75,20812272,20515700,-0.15,-1.38,10.89,"October 29, 20",-0.0138
1134,2020-10-30,10.61,10.68,9.85,10.13,10.13,19928843,19705500,-0.48,-4.52,10.2,"October 30, 20",-0.0452
1133,2020-11-02,10.23,10.57,10.23,10.54,10.54,12026142,11677800,0.31,3.03,10.42,"November 02, 20",0.0303
1132,2020-11-03,10.57,10.94,10.44,10.5,10.5,21994100,21652800,-0.07,-0.66225,10.69,"November 03, 20",-0.0066225
1131,2020-11-04,10.82,10.92,10.55,10.72,10.72,16019267,15783400,-0.1,-0.92421,10.75,"November 04, 20",-0.0092421
1130,2020-11-05,10.9,12.13,10.85,11.88,11.88,49022580,48560400,0.98,8.99,11.69,"November 05, 20",0.0899
1129,2020-11-06,12.22,14.96,12.05,13.83,13.83,91141147,89977600,1.61,13.18,13.82,"November 06, 20",0.1318
1128,2020-11-09,14.96,15.9,14.11,14.67,14.67,62551205,60099000,-0.29,-1.94,15.05,"November 09, 20",-0.0194
1127,2020-11-10,14.99,15.01,13.18,14.0,14.0,38871537,38078700,-0.99,-6.6,14.0,"November 10, 20",-0.066
1126,2020-11-11,14.57,15.97,14.4,15.96,15.96,47328286,47027900,1.39,9.54,15.25,"November 11, 20",0.0954
1125,2020-11-12,16.66,17.06,14.41,14.58,14.58,100700648,97904000,-2.08,-12.48,15.19,"November 12, 20",-0.1248
1124,2020-11-13,14.49,16.0,14.49,15.8,15.8,78142028,76354800,1.31,9.04,15.34,"November 13, 20",0.0904
1123,2020-11-16,15.96,16.1,15.01,15.93,15.93,68381528,65326000,-0.03,-0.18797,15.79,"November 16, 20",-0.0018797
1122,2020-11-17,16.29,18.75,16.18,17.85,17.85,117539897,116618500,1.56,9.58,17.69,"November 17, 20",0.0958
1121,2020-11-18,18.28,19.25,17.54,17.9,17.9,91505191,89957900,-0.38,-2.08,18.38,"November 18, 20",-0.0208
1120,2020-11-19,18.5,18.98,17.96,18.98,18.98,57201235,56225400,0.48,2.59,18.5,"November 19, 20",0.0259
1119,2020-11-20,19.03,19.66,18.0,18.15,18.15,73103035,72104000,-0.88,-4.62,18.71,"November 20, 20",-0.0462
1118,2020-11-23,18.63,21.45,18.57,21.04,21.04,85694342,84716300,2.41,12.94,20.02,"November 23, 20",0.1294
1117,2020-11-24,22.35,24.27,20.63,23.82,23.82,117722583,115468800,1.47,6.58,22.81,"November 24, 20",0.0658
1116,2020-11-25,23.96,29.75,23.69,29.05,29.049999,203256795,202563700,5.09,21.24,27.19,"November 25, 20",0.2124
1115,2020-11-27,31.19,33.5,26.12,27.66,27.66,207834002,207834000,-3.53,-11.32,29.92,"November 27, 20",-0.1132
1114,2020-11-30,28.24,30.15,24.11,27.11,27.11,138974466,137243000,-1.13,-4.0,27.21,"November 30, 20",-0.04
1113,2020-12-01,28.09,28.14,24.45,25.67,25.67,85311632,84050000,-2.42,-8.62,25.75,"December 01, 20",-0.0862
1112,2020-12-02,22.24,23.4,21.15,22.51,22.51,151542845,149062100,0.27,1.21,22.35,"December 02, 20",0.0121
1111,2020-12-03,23.55,25.62,23.5,24.03,24.03,86296964,85634300,0.48,2.04,24.37,"December 03, 20",0.0204
1110,2020-12-04,24.88,25.24,23.51,23.85,23.85,56616317,56044100,-1.03,-4.14,24.17,"December 04, 20",-0.0414
1109,2020-12-07,24.44,29.0,24.44,28.94,28.94,118946429,118463700,4.5,18.41,27.05,"December 07, 20",0.1841
1108,2020-12-08,30.63,31.24,27.25,28.59,28.59,126423270,124754300,-2.04,-6.66,28.92,"December 08, 20",-0.0666
1107,2020-12-09,28.68,28.85,25.33,26.63,26.629999,80397711,79634700,-2.05,-7.15,27.01,"December 09, 20",-0.0715
1106,2020-12-10,25.5412,28.04,25.15,27.04,27.04,58446446,57774800,1.4988,5.87,27.04,"December 10, 20",0.0587
1105,2020-12-11,27.15,28.27,26.06,27.2,27.2,53124729,52764400,0.05,0.18416,27.01,"December 11, 20",0.0018416
1104,2020-12-14,28.26,28.26,26.7301,27.24,27.24,45303921,44734500,-1.02,-3.61,27.45,"December 14, 20",-0.0361
