,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1255,2020-05-11,57.72,57.93,56.33,57.36,50.63,10652600,10652600,-0.36,-0.6237,57.335,"May 11, 20",-0.006237
1254,2020-05-12,57.38,58.44,56.72,56.72,50.07,10906213,10906213,-0.66,-1.15,57.315,"May 12, 20",-0.0115
1253,2020-05-13,56.09,56.09,53.18,54.1,47.75,13948046,13948046,-1.99,-3.55,54.865,"May 13, 20",-0.0355
1252,2020-05-14,52.67,53.91,51.13,53.86,47.96,16745221,16745221,1.19,2.26,52.8925,"May 14, 20",0.0226
1251,2020-05-15,53.04,53.27,51.66,52.73,46.96,22048830,22048830,-0.31,-0.58446,52.675,"May 15, 20",-0.0058446
1250,2020-05-18,55.65,58.62,55.52,57.9,51.56,19746225,19746225,2.25,4.04,56.9225,"May 18, 20",0.0404
1249,2020-05-19,57.89,60.14,57.4,57.94,51.6,14442343,14442343,0.05,0.0863707,58.3425,"May 19, 20",0.000863707
1248,2020-05-20,58.71,59.07,57.69,57.8,51.47,10344800,10344800,-0.91,-1.55,58.3175,"May 20, 20",-0.0155
1247,2020-05-21,58.3,60.21,58.2,60.1,53.52,10309900,10309900,1.8,3.09,59.2025,"May 21, 20",0.0309
1246,2020-05-22,60.39,60.77,59.33,60.0,53.43,6510700,6510700,-0.39,-0.6458,60.1225,"May 22, 20",-0.006458
1245,2020-05-26,62.56,65.55,62.36,64.47,57.41,15937800,15937800,1.91,3.05,63.735,"May 26, 20",0.0305
1244,2020-05-27,67.0,67.99,65.17,66.65,59.35,13951600,13951600,-0.35,-0.52239,66.7025,"May 27, 20",-0.0052239
1243,2020-05-28,68.78,68.78,66.14,67.27,59.91,12690856,12690856,-1.51,-2.2,67.7425,"May 28, 20",-0.022
1242,2020-05-29,65.6,66.6,64.14,64.52,57.46,13959013,13959013,-1.08,-1.65,65.215,"May 29, 20",-0.0165
1241,2020-06-01,65.0,66.04,64.07,64.12,57.1,11328211,11328211,-0.88,-1.35,64.8075,"June 01, 20",-0.0135
1240,2020-06-02,63.7,64.2,62.56,63.4,56.46,14938400,14938400,-0.3,-0.47096,63.465,"June 02, 20",-0.0047096
1239,2020-06-03,64.5,67.73,64.44,67.47,60.08,15875903,15875903,2.97,4.6,66.035,"June 03, 20",0.046
1238,2020-06-04,67.1,67.83,66.31,67.51,60.12,10135000,10135000,0.41,0.61103,67.1875,"June 04, 20",0.0061103
1237,2020-06-05,71.03,73.74,71.0,72.07,64.18,14203100,14203100,1.04,1.46,71.96,"June 05, 20",0.0146
1236,2020-06-08,72.5,74.93,72.5,74.16,66.04,11945547,11945547,1.66,2.29,73.5225,"June 08, 20",0.0229
1235,2020-06-09,72.65,72.65,70.51,70.54,62.82,9964902,9964902,-2.11,-2.9,71.5875,"June 09, 20",-0.029
1234,2020-06-10,70.14,70.29,68.05,68.36,60.88,9765900,9765900,-1.78,-2.54,69.21,"June 10, 20",-0.0254
1233,2020-06-11,63.99,65.71,62.82,62.85,55.97,13709000,13709000,-1.14,-1.78,63.8425,"June 11, 20",-0.0178
1232,2020-06-12,65.97,66.07,63.36,65.37,58.21,9589500,9589500,-0.6,-0.9095,65.1925,"June 12, 20",-0.009095
1231,2020-06-15,63.0,67.76,62.44,67.05,59.71,13561351,13561351,4.05,6.43,65.0625,"June 15, 20",0.0643
1230,2020-06-16,69.62,70.1,66.05,67.82,60.4,11527264,11527264,-1.8,-2.59,68.3975,"June 16, 20",-0.0259
1229,2020-06-17,68.0,68.2,66.63,66.9,59.58,9294400,9294400,-1.1,-1.62,67.4325,"June 17, 20",-0.0162
1228,2020-06-18,65.83,67.43,65.61,66.88,59.56,6431137,6431137,1.05,1.6,66.4375,"June 18, 20",0.016
1227,2020-06-19,68.36,68.36,64.47,64.89,57.79,19144400,19144400,-3.47,-5.08,66.52,"June 19, 20",-0.0508
1226,2020-06-22,64.81,65.42,63.93,65.04,57.92,7566100,7566100,0.23,0.35488,64.8,"June 22, 20",0.0035488
1225,2020-06-23,65.46,65.78,64.16,64.54,57.47,6935100,6935100,-0.92,-1.41,64.985,"June 23, 20",-0.0141
1224,2020-06-24,63.99,64.01,61.07,61.72,54.96,9880544,9880544,-2.27,-3.55,62.6975,"June 24, 20",-0.0355
1223,2020-06-25,60.92,61.38,59.96,61.06,54.38,12717436,12717436,0.14,0.22981,60.83,"June 25, 20",0.0022981
1222,2020-06-26,61.02,61.42,58.94,59.1,52.63,17537900,17537900,-1.92,-3.15,60.12,"June 26, 20",-0.0315
1221,2020-06-29,60.19,61.92,59.8,61.92,55.14,8908741,8908741,1.73,2.87,60.9575,"June 29, 20",0.0287
1220,2020-06-30,61.05,61.86,60.08,61.62,54.87,10746430,10746430,0.57,0.93366,61.1525,"June 30, 20",0.0093366
1219,2020-07-01,61.78,62.9,61.23,61.61,54.86,6860336,6860336,-0.17,-0.27517,61.88,"July 01, 20",-0.0027517
1218,2020-07-02,62.67,63.46,61.62,61.79,55.03,8238315,8238315,-0.88,-1.4,62.385,"July 02, 20",-0.014
1217,2020-07-06,63.06,63.83,62.12,63.32,56.39,6128200,6128200,0.26,0.41231,63.0825,"July 06, 20",0.0041231
1216,2020-07-07,62.54,62.83,60.94,61.01,54.33,8783009,8783009,-1.53,-2.45,61.83,"July 07, 20",-0.0245
1215,2020-07-08,60.88,61.64,60.2,61.01,54.33,9306939,9306939,0.13,0.21353,60.9325,"July 08, 20",0.0021353
1214,2020-07-09,60.66,60.88,58.06,58.11,51.75,10778906,10778906,-2.55,-4.2,59.4275,"July 09, 20",-0.042
1213,2020-07-10,59.1,60.2,58.77,59.64,53.11,10458000,10458000,0.54,0.91371,59.4275,"July 10, 20",0.0091371
1212,2020-07-13,60.28,60.8,58.74,59.35,52.85,7440814,7440814,-0.93,-1.54,59.7925,"July 13, 20",-0.0154
1211,2020-07-14,59.0,60.56,58.45,60.47,53.85,7256823,7256823,1.47,2.49,59.62,"July 14, 20",0.0249
1210,2020-07-15,62.35,63.22,62.05,62.94,56.05,9036942,9036942,0.59,0.94627,62.64,"July 15, 20",0.0094627
1209,2020-07-16,62.3,62.81,61.45,62.37,55.54,5684100,5684100,0.07,0.11236,62.2325,"July 16, 20",0.0011236
1208,2020-07-17,62.47,62.61,61.71,62.2,55.39,10791418,10791418,-0.27,-0.43221,62.2475,"July 17, 20",-0.0043221
1207,2020-07-20,61.78,62.03,60.82,61.41,54.69,6688331,6688331,-0.37,-0.5989,61.51,"July 20, 20",-0.005989
1206,2020-07-21,62.0,63.48,61.83,63.05,56.15,7395916,7395916,1.05,1.69,62.59,"July 21, 20",0.0169
1205,2020-07-22,62.6,63.73,62.17,63.63,56.66,5758700,5758700,1.03,1.65,63.0325,"July 22, 20",0.0165
1204,2020-07-23,63.59,64.33,62.88,63.12,56.21,6043300,6043300,-0.47,-0.73911,63.48,"July 23, 20",-0.0073911
1203,2020-07-24,63.21,63.97,61.79,62.07,55.27,6058900,6058900,-1.14,-1.8,62.76,"July 24, 20",-0.018
1202,2020-07-27,61.65,61.85,60.65,61.09,54.4,10194323,10194323,-0.56,-0.90835,61.31,"July 27, 20",-0.0090835
1201,2020-07-28,61.74,61.82,59.75,61.0,54.32,13111800,13111800,-0.74,-1.2,61.0775,"July 28, 20",-0.012
1200,2020-07-29,60.7,60.99,59.06,59.4,52.9,11162500,11162500,-1.3,-2.14,60.0375,"July 29, 20",-0.0214
1199,2020-07-30,58.62,58.65,57.27,57.46,51.17,12292100,12292100,-1.16,-1.98,58.0,"July 30, 20",-0.0198
1198,2020-07-31,57.36,57.38,56.11,56.68,50.47,11445378,11445378,-0.68,-1.19,56.8825,"July 31, 20",-0.0119
1197,2020-08-03,56.47,57.52,55.73,57.51,51.21,8793323,8793323,1.04,1.84,56.8075,"August 03, 20",0.0184
1196,2020-08-04,57.72,57.91,57.12,57.51,51.21,7844600,7844600,-0.21,-0.36383,57.565,"August 04, 20",-0.0036383
1195,2020-08-05,57.85,60.05,57.7,60.03,53.46,10153292,10153292,2.18,3.77,58.9075,"August 05, 20",0.0377
1194,2020-08-06,59.5,60.41,59.3,59.87,53.32,5786706,5786706,0.37,0.62185,59.77,"August 06, 20",0.0062185
1193,2020-08-07,59.87,61.29,59.35,61.23,54.53,6263100,6263100,1.36,2.27,60.435,"August 07, 20",0.0227
1192,2020-08-10,61.5,64.44,61.36,64.23,57.2,10042621,10042621,2.73,4.44,62.8825,"August 10, 20",0.0444
1191,2020-08-11,65.19,66.15,64.08,64.26,57.22,12120848,12120848,-0.93,-1.43,64.92,"August 11, 20",-0.0143
1190,2020-08-12,65.13,65.14,63.38,64.29,57.25,7331619,7331619,-0.84,-1.29,64.485,"August 12, 20",-0.0129
1189,2020-08-13,63.06,64.04,62.65,63.3,56.79,9452000,9452000,0.24,0.38059,63.2625,"August 13, 20",0.0038059
1188,2020-08-14,62.8,64.24,62.59,63.64,57.09,5124446,5124446,0.84,1.34,63.3175,"August 14, 20",0.0134
1187,2020-08-17,63.58,63.88,62.68,62.77,56.31,6408400,6408400,-0.81,-1.27,63.2275,"August 17, 20",-0.0127
1186,2020-08-18,62.72,63.17,62.03,62.1,55.71,4727700,4727700,-0.62,-0.98852,62.505,"August 18, 20",-0.0098852
1185,2020-08-19,62.02,62.91,61.5,61.64,55.3,5381200,5381200,-0.38,-0.61271,62.0175,"August 19, 20",-0.0061271
1184,2020-08-20,61.0,61.42,60.34,60.99,54.72,4689219,4689219,-0.01,-0.01639344,60.9375,"August 20, 20",-0.0001639344
1183,2020-08-21,60.67,61.28,60.23,60.27,54.07,7067400,7067400,-0.4,-0.6593,60.6125,"August 21, 20",-0.006593
1182,2020-08-24,60.4,62.04,60.13,61.88,55.52,6379800,6379800,1.48,2.45,61.1125,"August 24, 20",0.0245
1181,2020-08-25,61.36,61.4,59.64,60.95,54.68,12678829,12678829,-0.41,-0.66819,60.8375,"August 25, 20",-0.0066819
1180,2020-08-26,60.64,60.92,59.99,60.77,54.52,8659614,8659614,0.13,0.21438,60.58,"August 26, 20",0.0021438
1179,2020-08-27,60.76,61.96,60.38,60.9,54.64,8749800,8749800,0.14,0.23041,61.0,"August 27, 20",0.0023041
1178,2020-08-28,61.12,62.53,60.63,62.24,55.84,18550100,18550100,1.12,1.83,61.63,"August 28, 20",0.0183
1177,2020-08-31,62.19,63.57,60.92,61.0,54.73,10885700,10885700,-1.19,-1.91,61.92,"August 31, 20",-0.0191
1176,2020-09-01,60.69,61.35,60.12,60.68,54.44,9310332,9310332,-0.01,-0.01647718,60.71,"September 01, 20",-0.0001647718
1175,2020-09-02,61.0,62.15,60.76,62.0,55.62,7511900,7511900,1.0,1.64,61.4775,"September 02, 20",0.0164
1174,2020-09-03,62.19,63.2,60.42,60.86,54.6,8515700,8515700,-1.33,-2.14,61.6675,"September 03, 20",-0.0214
1173,2020-09-04,61.49,62.21,59.94,61.17,54.88,6785915,6785915,-0.32,-0.52041,61.2025,"September 04, 20",-0.0052041
1172,2020-09-08,60.38,60.59,58.82,59.25,53.16,10523800,10523800,-1.13,-1.87,59.76,"September 08, 20",-0.0187
1171,2020-09-09,59.77,60.31,58.89,59.58,53.45,7560957,7560957,-0.19,-0.31789,59.6375,"September 09, 20",-0.0031789
1170,2020-09-10,60.3,61.68,59.38,59.52,53.4,8670608,8670608,-0.78,-1.29,60.22,"September 10, 20",-0.0129
1169,2020-09-11,59.5,60.9,59.4,60.65,54.41,9780925,9780925,1.15,1.93,60.1125,"September 11, 20",0.0193
1168,2020-09-14,61.28,62.23,61.08,61.97,55.6,6548618,6548618,0.69,1.13,61.64,"September 14, 20",0.0113
1167,2020-09-15,61.74,62.44,60.96,61.44,55.12,7069300,7069300,-0.3,-0.48591,61.645,"September 15, 20",-0.0048591
1166,2020-09-16,61.24,63.73,60.91,62.92,56.45,8896470,8896470,1.68,2.74,62.2,"September 16, 20",0.0274
1165,2020-09-17,62.23,64.01,61.56,62.81,56.35,6063176,6063176,0.58,0.93203,62.6525,"September 17, 20",0.0093203
1164,2020-09-18,62.57,63.33,62.1,62.35,55.94,16814200,16814200,-0.22,-0.35161,62.5875,"September 18, 20",-0.0035161
1163,2020-09-21,61.58,62.57,59.63,60.02,53.85,8845200,8845200,-1.56,-2.53,60.95,"September 21, 20",-0.0253
1162,2020-09-22,59.94,60.78,58.93,59.79,53.64,5883245,5883245,-0.15,-0.25025,59.86,"September 22, 20",-0.0025025
1161,2020-09-23,59.82,60.88,58.3,58.33,52.33,7280000,7280000,-1.49,-2.49,59.3325,"September 23, 20",-0.0249
