,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1255,2020-05-11,41.01,41.44,41.0,41.22,38.48,25341940,25341940,0.21,0.51207,41.1675,"May 11, 20",0.0051207
1254,2020-05-12,41.49,41.89,41.26,41.26,38.51,19100194,19100194,-0.23333,-0.55435,41.475,"May 12, 20",-0.0055435
1253,2020-05-13,41.17,42.08,41.03,41.24,38.49,29175300,29175300,0.07,0.17003,41.38,"May 13, 20",0.0017003
1252,2020-05-14,41.62,41.71,40.43,41.14,38.4,22233040,22233040,-0.47667,-1.15,41.225,"May 14, 20",-0.0115
1251,2020-05-15,41.16,41.98,41.03,41.98,39.19,31770160,31770160,0.82333,1.99,41.5375,"May 15, 20",0.0199
1250,2020-05-18,42.5,42.85,42.03,42.55,39.72,39107751,39107751,0.053334,0.11765,42.4825,"May 18, 20",0.0011765
1249,2020-05-19,43.92,44.0,41.6,41.65,38.88,74746394,74746394,-2.27,-5.17,42.7925,"May 19, 20",-0.0517
1248,2020-05-20,42.16,42.2,41.54,41.82,39.03,32246438,32246438,-0.34667,-0.80645,41.93,"May 20, 20",-0.0080645
1247,2020-05-21,41.63,42.05,41.42,41.66,38.89,22448242,22448242,0.033334,0.07206342,41.69,"May 21, 20",0.0007206342
1246,2020-05-22,41.7,41.78,41.26,41.44,38.68,22359600,22359600,-0.25667,-0.6235,41.545,"May 22, 20",-0.006235
1245,2020-05-26,41.45,41.84,41.21,41.29,38.54,23730600,23730600,-0.16,-0.38601,41.4475,"May 26, 20",-0.0038601
1244,2020-05-27,41.32,41.5,40.34,40.83,38.11,31073716,31073716,-0.49667,-1.19,40.9975,"May 27, 20",-0.0119
1243,2020-05-28,41.24,41.65,41.05,41.23,38.49,24437943,24437943,-0.01,-0.0242483,41.2925,"May 28, 20",-0.000242483
1242,2020-05-29,41.41,41.57,40.64,41.35,38.6,29317322,29317322,-0.06,-0.14489,41.2425,"May 29, 20",-0.0014489
1241,2020-06-01,41.15,41.47,40.79,41.32,38.57,20567276,20567276,0.17333,0.41312,41.1825,"June 01, 20",0.0041312
